src_id,dst_id,weight,shared_nonlisted_target_cnt,shared_nonlisted_target_amt_sum
908,2624,1.0,1,0.0
908,2625,1.0,1,0.0
908,2770,1.0,1,0.0
932,166,1.0,1,0.0
932,353,1.0,1,0.0
932,377,1.0,1,0.0
932,421,1.0,1,0.0
932,482,1.0,1,0.0
932,579,1.0,1,0.0
932,639,1.0,1,0.0
932,640,1.0,1,0.0
932,830,1.0,1,0.0
932,904,1.0,1,0.0
932,1009,1.0,1,0.0
932,1044,1.0,1,0.0
932,1120,1.0,1,0.0
932,1168,1.0,1,0.0
932,2182,1.0,1,0.0
932,2297,1.0,1,0.0
932,2425,1.0,1,0.0
932,2732,1.0,1,0.0
932,2861,1.0,1,0.0
946,803,1.0,1,0.0
946,836,1.0,1,0.0
976,121,1.0,1,0.0
976,153,1.0,1,0.0
976,256,1.0,1,0.0
976,300,1.0,1,0.0
976,361,1.0,1,0.0
976,830,1.0,1,0.0
976,908,1.0,1,0.0
976,1004,1.0,1,0.0
976,1021,1.0,1,0.0
976,1040,1.0,1,0.0
976,1082,1.0,1,0.0
976,1108,1.0,1,0.0
976,2333,1.0,1,0.0
976,2584,1.0,1,0.0
976,2624,1.0,1,0.0
976,2625,1.0,1,0.0
976,2770,1.0,1,0.0
1004,121,1.0,1,0.0
1004,153,1.0,1,0.0
1004,256,1.0,1,0.0
1004,300,1.0,1,0.0
1004,361,1.0,1,0.0
1004,830,1.0,1,0.0
1004,908,1.0,1,0.0
1004,976,1.0,1,0.0
1004,1021,1.0,1,0.0
1004,1040,1.0,1,0.0
1004,1082,1.0,1,0.0
1004,1108,1.0,1,0.0
1004,2333,1.0,1,0.0
1004,2584,1.0,1,0.0
1004,2624,1.0,1,0.0
1004,2625,1.0,1,0.0
1004,2770,1.0,1,0.0
1009,166,1.0,1,0.0
1009,353,1.0,1,0.0
1009,377,1.0,1,0.0
1009,421,1.0,1,0.0
1009,482,1.0,1,0.0
1009,579,1.0,1,0.0
1009,639,1.0,1,0.0
1009,640,1.0,1,0.0
1009,830,1.0,1,0.0
1009,904,1.0,1,0.0
1009,932,1.0,1,0.0
1009,1044,1.0,1,0.0
1009,1120,1.0,1,0.0
1009,1168,1.0,1,0.0
1009,2182,1.0,1,0.0
1009,2297,1.0,1,0.0
1009,2425,1.0,1,0.0
1009,2732,1.0,1,0.0
1009,2861,1.0,1,0.0
1021,121,1.0,1,0.0
1021,153,1.0,1,0.0
1021,256,1.0,1,0.0
1021,300,1.0,1,0.0
1021,361,1.0,1,0.0
1021,830,1.0,1,0.0
1021,908,1.0,1,0.0
1021,976,1.0,1,0.0
1021,1004,1.0,1,0.0
1021,1040,1.0,1,0.0
1021,1082,1.0,1,0.0
1021,1108,1.0,1,0.0
1021,2333,1.0,1,0.0
1021,2584,1.0,1,0.0
1021,2624,1.0,1,0.0
1021,2625,1.0,1,0.0
1021,2770,1.0,1,0.0
1040,105,6.695798917058491,1,808.0
1040,121,1.0,1,0.0
1040,153,1.0,1,0.0
1040,256,1.0,1,0.0
1040,300,1.0,1,0.0
1040,361,1.0,1,0.0
1040,830,1.0,1,0.0
1040,908,1.0,1,0.0
1040,976,1.0,1,0.0
1040,1004,1.0,1,0.0
1040,1021,1.0,1,0.0
1040,1082,1.0,1,0.0
1040,1108,1.0,1,0.0
1040,2333,1.0,1,0.0
1040,2584,1.0,1,0.0
1040,2624,1.0,1,0.0
1040,2625,1.0,1,0.0
1040,2770,1.0,1,0.0
1044,166,1.0,1,0.0
1044,353,1.0,1,0.0
1044,377,1.0,1,0.0
1044,421,1.0,1,0.0
1044,482,1.0,1,0.0
1044,579,1.0,1,0.0
1044,639,1.0,1,0.0
1044,640,1.0,1,0.0
1044,830,1.0,1,0.0
1044,904,1.0,1,0.0
1044,932,1.0,1,0.0
1044,1009,1.0,1,0.0
1044,1120,1.0,1,0.0
1044,1168,1.0,1,0.0
1044,2182,1.0,1,0.0
1044,2297,1.0,1,0.0
1044,2425,1.0,1,0.0
1044,2732,1.0,1,0.0
1044,2861,1.0,1,0.0
1046,224,1.0,1,0.0
1046,334,1.0,1,0.0
1046,2236,1.0,1,0.0
1046,2248,1.0,1,0.0
1046,2493,1.0,1,0.0
1060,1122,1.0,1,0.0
1082,121,1.0,1,0.0
1082,153,1.0,1,0.0
1082,256,1.0,1,0.0
1082,300,1.0,1,0.0
1082,361,1.0,1,0.0
1082,830,1.0,1,0.0
1082,908,1.0,1,0.0
1082,976,1.0,1,0.0
1082,1004,1.0,1,0.0
1082,1021,1.0,1,0.0
1082,1040,1.0,1,0.0
1082,1108,1.0,1,0.0
1082,2333,1.0,1,0.0
1082,2584,1.0,1,0.0
1082,2624,1.0,1,0.0
1082,2625,1.0,1,0.0
1082,2770,1.0,1,0.0
1108,121,1.0,1,0.0
1108,153,1.0,1,0.0
1108,256,1.0,1,0.0
1108,300,1.0,1,0.0
1108,361,1.0,1,0.0
1108,830,1.0,1,0.0
1108,908,1.0,1,0.0
1108,976,1.0,1,0.0
