src_id,dst_id,weight,shared_controller_cnt
2228,2289,1.0,1
2228,2297,1.0,1
2228,2308,1.0,1
2228,2313,1.0,1
2228,2315,1.0,1
2228,2348,1.0,1
2228,2353,1.0,1
2228,2467,1.0,1
2228,2469,1.0,1
2234,188,1.0,1
2234,947,1.0,1
2237,1065,1.0,1
2240,440,1.0,1
2240,558,1.0,1
2241,96,1.0,1
2241,136,1.0,1
2241,169,1.0,1
2241,183,1.0,1
2241,187,1.0,1
2241,191,1.0,1
2241,820,1.0,1
2241,852,1.0,1
2241,861,1.0,1
2241,887,1.0,1
2241,959,1.0,1
2241,1038,1.0,1
2241,1192,1.0,1
2241,1201,1.0,1
2241,1272,1.0,1
2241,2192,1.0,1
2241,2208,1.0,1
2241,2212,1.0,1
2241,2228,1.0,1
2241,2289,1.0,1
2241,2297,1.0,1
2241,2308,1.0,1
2241,2313,1.0,1
2241,2315,1.0,1
2241,2348,1.0,1
2241,2353,1.0,1
2241,2467,1.0,1
2241,2469,1.0,1
2247,229,1.0,1
2247,445,1.0,1
2282,1077,1.0,1
2282,2286,1.0,1
2286,1077,1.0,1
2286,2282,1.0,1
2289,96,1.0,1
2289,136,1.0,1
2289,169,1.0,1
2289,183,1.0,1
2289,187,1.0,1
2289,191,1.0,1
2289,820,1.0,1
2289,852,1.0,1
