src_stkcd,year,guar_event_cnt,guar_amt_sum,guar_amt_mean,guar_listed_target_cnt,guar_nonlisted_target_cnt,guar_listed_target_ratio
002353,2019,86,176230.65,2049.193604651163,4,82,0.046511627906976744
002353,2020,59,37431.15,634.4262711864407,0,59,0.0
002353,2021,104,87960.04000000001,845.7696153846155,0,104,0.0
002353,2022,85,104035.65999999999,1223.9489411764705,0,85,0.0
002353,2023,13,88661.06,6820.081538461538,0,13,0.0
002353,2024,64,55376.520000000004,865.2581250000001,0,64,0.0
002353,2025,1,21280.0,21280.0,0,1,0.0
002354,2010,3,3580.0,1193.3333333333333,0,3,0.0
002354,2011,10,34580.0,3842.222222222222,0,10,0.0
002354,2012,13,24660.0,2055.0,0,13,0.0
002354,2013,9,56160.0,6240.0,0,9,0.0
002354,2014,8,16000.0,2000.0,0,8,0.0
002354,2015,1,30000.0,30000.0,0,1,0.0
002354,2016,1,0.0,0.0,0,1,0.0
002354,2017,3,5000.0,5000.0,0,3,0.0
002354,2018,8,53339.439361,10667.887872199999,0,8,0.0
002354,2019,7,51355.51,8559.251666666667,0,7,0.0
002354,2020,5,47310.68,9462.136,0,5,0.0
002354,2021,7,23386.58,3340.94,0,7,0.0
002354,2022,5,12927.33,3231.8325,0,5,0.0
002354,2024,7,20598.4,2942.628571428572,0,7,0.0
002355,2019,1,0.0,0.0,0,1,0.0
002355,2021,1,0.0,0.0,0,1,0.0
002355,2022,3,4800.0,1600.0,0,3,0.0
002355,2023,6,4890.0,978.0,0,6,0.0
002355,2024,13,12590.0,968.4615384615385,0,13,0.0
002356,2013,1,174.0,174.0,0,1,0.0
002356,2014,4,574.0,191.33333333333334,0,4,0.0
002356,2015,9,80000.0,8888.888888888889,0,9,0.0
002356,2016,18,147915.0,8217.5,0,18,0.0
002356,2017,37,219228.971572,5925.1073397837845,0,37,0.0
002356,2018,33,225919.826032,7530.660867733333,0,33,0.0
002356,2019,16,133956.03,8372.251875,0,16,0.0
002356,2020,16,265571.57,17704.771333333334,0,16,0.0
002356,2021,12,145135.19,12094.599166666667,0,12,0.0
002356,2022,2,2498.4,1249.2,0,2,0.0
002357,2010,1,440.0,440.0,0,1,0.0
002357,2015,7,99314.0,14187.714285714286,0,7,0.0
002357,2016,14,60640.0,4331.428571428572,0,14,0.0
002357,2020,11,4600.0,1150.0,0,11,0.0
002357,2021,12,11900.0,1700.0,0,12,0.0
002357,2022,13,15247.84,1172.9107692307693,0,13,0.0
002357,2023,8,7350.0,918.75,0,8,0.0
002357,2024,20,31920.03,1995.001875,0,20,0.0
002358,2015,2,28383.17,28383.17,0,2,0.0
002359,2011,2,30000.0,15000.0,0,2,0.0
002359,2013,2,26600.0,13300.0,0,2,0.0
002359,2014,1,16600.0,16600.0,0,1,0.0
002359,2015,1,16600.0,16600.0,0,1,0.0
002359,2016,2,16600.0,16600.0,0,2,0.0
002359,2017,66,3249921.307594,57016.16329112281,0,66,0.0
002359,2018,103,754634.39,11978.32365079365,0,103,0.0
002359,2019,81,803512.35,11816.358088235294,0,81,0.0
002359,2020,60,745150.77,12629.67406779661,0,60,0.0
002360,2012,1,0.0,0.0,0,1,0.0
002360,2020,2,3800.0,1900.0,0,2,0.0
002360,2022,8,11000.0,1375.0,0,8,0.0
002360,2023,10,46000.0,4600.0,0,10,0.0
002360,2024,4,26500.0,6625.0,0,4,0.0
002361,2012,1,0.0,0.0,0,1,0.0
002361,2015,1,0.0,0.0,0,1,0.0
002361,2016,4,5400.0,2700.0,0,4,0.0
002361,2017,9,11300.0,1614.2857142857142,0,9,0.0
002361,2018,14,25900.0,2354.5454545454545,0,14,0.0
002361,2019,31,72855.0,2698.3333333333335,0,31,0.0
002361,2020,30,96312.0,3704.3076923076924,0,30,0.0
002361,2021,33,43885.49,1329.8633333333332,0,33,0.0
002361,2022,52,100112.99,1925.2498076923077,0,52,0.0
002361,2023,23,51645.0,2245.4347826086955,0,23,0.0
002361,2024,17,71555.0,4209.117647058823,0,17,0.0
002362,2014,1,0.0,0.0,0,1,0.0
002362,2015,2,0.0,0.0,0,2,0.0
002362,2016,1,0.0,0.0,0,1,0.0
002362,2017,5,500.0,166.66666666666666,0,5,0.0
002362,2018,15,3800.0,316.6666666666667,0,15,0.0
002362,2019,9,3200.0,457.14285714285717,0,9,0.0
002362,2020,1,0.0,0.0,0,1,0.0
002362,2021,22,9817.310000000001,490.86550000000005,0,22,0.0
002362,2022,21,15805.92,790.296,0,21,0.0
002362,2023,1,2.58,2.58,0,1,0.0
002363,2014,2,1700.0,1700.0,0,2,0.0
002363,2018,1,0.0,0.0,0,1,0.0
002364,2017,1,0.0,0.0,0,1,0.0
002365,2015,3,637.72,318.86,0,3,0.0
002365,2016,4,2480.6,620.15,0,4,0.0
002365,2018,1,0.0,0.0,0,1,0.0
002365,2019,7,10311.35,2062.27,0,7,0.0
002365,2020,1,992.49,992.49,0,1,0.0
002365,2021,1,992.49,992.49,0,1,0.0
002365,2022,2,3992.49,1996.245,0,2,0.0
002365,2023,2,3992.49,1996.245,0,2,0.0
002365,2024,1,992.49,992.49,0,1,0.0
002366,2011,1,55282.692309,55282.692309,0,1,0.0
002366,2012,1,11109.615392,11109.615392,0,1,0.0
002366,2022,23,205824.72,8948.900869565217,0,23,0.0
002366,2023,22,112193.64,5099.710909090909,0,22,0.0
002366,2024,3,45863.82,15287.94,0,3,0.0
002368,2015,6,19000.0,4750.0,0,6,0.0
002368,2017,2,11500.0,5750.0,0,2,0.0
002368,2018,22,22585.32,2053.210909090909,0,22,0.0
002368,2019,22,9737.23,1081.9144444444444,0,22,0.0
