src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2022-12-30,3750.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2022-12-30,4687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2024-12-30,1875.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2022-06-30,362.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2025-03-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2024-12-30,4687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2023-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-11,2022-03-10,10000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2022-12-30,10312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2022-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2025-03-30,250.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2022-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2024-06-30,212.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2022-06-30,212.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2024-06-30,250.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-12-30,7040.625,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2024-06-30,687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2024-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-10,2025-03-30,609.375,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2022-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2023-06-30,362.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-10,2025-07-29,9140.625,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2025-03-30,312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2022-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2023-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2025-03-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2024-12-30,10312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-04,2022-06-30,250.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2025-07-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2025-03-30,212.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2023-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2023-12-30,10312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2023-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2022-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2025-03-30,362.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2024-06-30,312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2023-04-14,,5000.0,P7912,USD,True,2023
002422,301301,伊犁川宁生物技术股份有限公司,2022-06-29,2023-06-28,5000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2023-04-14,,7800.0,P7912,USD,True,2023
002422,301301,伊犁川宁生物技术股份有限公司,2022-03-09,2023-02-24,10000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2022-06-15,2023-06-14,10000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2022-09-26,2023-09-25,10000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2022-09-29,2023-09-28,10000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2022-10-14,2023-10-13,10000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2023-04-14,,15000.0,P7912,USD,True,2023
002422,301301,伊犁川宁生物技术股份有限公司,2022-09-28,2023-09-28,15000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2022-03-14,2024-03-13,18000.0,P7912,USD,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2023-04-14,,270000.0,P7912,USD,True,2023
002422,301301,伊犁川宁生物技术股份有限公司,2024-04-25,,10000.0,P7912,CNY,True,2024
002422,301301,伊犁川宁生物技术股份有限公司,2024-04-25,,18000.0,P7912,CNY,True,2024
002422,301301,伊犁川宁生物技术股份有限公司,2024-04-25,,270000.0,P7912,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,7700.0,P7930,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,7700.0,P7930,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,8000.0,P7930,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,10000.0,P7930,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,10000.0,P7930,CNY,True,2024
002459,002459,晶澳太阳能科技股份有限公司,2024-04-30,,10000.0,P7930,CNY,True,2024
002506,300029,江苏华盛天龙光电设备股份有限公司,2012-07-20,,,P7912,CNY,True,2012
002506,300029,江苏华盛天龙光电设备股份有限公司,2013-04-27,,0.0,P7910,CNY,True,2013
002551,000001,平安银行股份有限公司,2017-04-28,,10000.0,P7910,CNY,True,2017
002551,601169,北京银行股份有限公司,2017-04-28,,10000.0,P7910,CNY,True,2017
002551,601169,北京银行,2018-04-04,,10000.0,P7910,CNY,True,2018
002551,601398,工商银行,2018-04-04,,1485.71,P7910,CNY,True,2018
002551,600016,民生银行,2018-04-04,,6000.0,P7910,CNY,True,2018
002551,002142,宁波银行,2018-04-04,,12665.43,P7910,CNY,True,2018
002551,601166,兴业银行,2018-04-04,,11298.35,P7910,CNY,True,2018
002551,000001,平安银行,2018-04-04,,10000.0,P7912,CNY,True,2018
002564,601727,上海电气集团股份有限公司,2018-12-28,2019-12-27,77000.0,P7930,CNY,True,2018
002564,601727,上海电气集团股份有限公司,2018-12-26,2019-12-25,150000.0,P7930,CNY,True,2018
002564,601727,上海电气集团股份有限公司,2019-03-23,,,"P7910,P7920,P7930",CNY,True,2019
002564,601727,上海电气集团股份有限公司,2020-04-14,,,"P7910,P7920,P7930",CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-04-17,2019-12-31,8000.0,P7930,CNY,True,2019
